phrase_number,category,tags
1151,places,"Ka'uiki, Maui"
1153,places,"Halape, Hawai'i"
1162,places,"Hikauhi, Moloka'i"
1162,places,"Kaumanamana, Moloka'i"
1162,places,"Kaunakakai, Moloka'i"
1167,places,Kahiki
1171,places,"Kōhala, Hawai'i"
1173,places,Kaua'i
1173,places,"Kaua'i-iki, Kaua'i"
1173,places,"Kukuiolono Park, Kaua'i"
1173,places,"Mai'aloa, Kaua'i"
1173,places,"Wahiawā, Kaua'i"
1178,places,Kahiki
1179,places,"Hawai'i, Kingdom of"
1179,places,Kahiki
1203,places,"Māna, Kaua'i"
1205,places,"Kaiholena, Hawai'i"
1205,places,"Kehena, Hawai'i"
1211,places,Kaneoneo
1214,places,"Keawalua, Maui"
1215,places,"Kokī, Moloka'i"
1215,places,"Wailau, Moloka'i"
1234,places,Kīlauea Crater
1235,places,Kanikii
1237,places,"'Ī-ao, Maui"
1242,places,Kahiki
1245,places,"Hilo, Hawai'i"
1256,places,"Kōhala, Hawai'i"
1257,places,"Ka'u, Hawai'i"
1257,places,"Ka'uloa, Hawai'i"
1257,places,"Palahemo, Hawai'i"
1257,places,Waiohinu
1258,places,Lāna'i
1258,places,"Lāna'i Hale, Lāna'i"
1258,places,"Lāna'i Ka'ula, Lāna'i"
1259,places,"Kaupō, Maui"
1262,places,Ulupa'upa'u
1263,places,"'Ewa, O'ahu"
1263,places,"Waialua, O'ahu"
1268,places,"'A'alaloa, Maui"
1272,places,"Honuakaha, O'ahu"
1272,places,Kawaiaha'o Cemetery
1278,places,"Kaueleau, Hawai'i"
1280,places,"Kā'anapali, Maui"
1281,places,"Kali'u, Hawai'i"
1281,places,"Kali'u, Kaua'i"
1282,places,Pua'ena
1287,places,"Ka'ena, O'ahu"
1289,places,"Hana, Maui"
1290,places,"Wakiū, Maui"
1291,places,"Upeloa, Hawai'i"
1292,places,"Hāmākua, Hawai'i"
1292,places,"Hilo, Hawai'i"
1292,places,"Ka'u, Hawai'i"
1292,places,"Puna, Hawai'i"
1297,places,Kahana
1300,places,"Kahauale'a, Hawai'i"
1303,places,"Kainaliu, Hawai'i"
1303,places,"Keauhou, Hawai'i"
1303,places,"Ma'ihi, Hawai'i"
1309,places,"Nu'uanu, O'ahu"
1312,places,"Kaumaea, Hawai'i"
1312,places,"Paiaha'a, Hawai'i"
1313,places,"Kōhala, Hawai'i"
1314,places,"Hau'ula, O'ahu"
1314,places,Kahiki
1317,places,Kaho'olawe
1319,places,"Kahuku, O'ahu"
1320,places,"Kahuku, Hawai'i"
1321,places,Kalia
1321,places,Ala Moana
1330,places,"Honouliuli, O'ahu"
1330,places,"Kaipapa'u, O'ahu"
1331,places,"'Ewa, O'ahu"
1338,places,"'Ainahou, O'ahu"
1339,places,"Waimea, Kaua'i"
1347,places,"Kaimū, Hawai'i"
1347,places,"Kalapana, Hawai'i"
1352,places,"Hilia, Moloka'i"
1357,places,"'Ewa, O'ahu"
1366,places,Ke'ehi
1370,places,"Kuloloia, O'ahu"
1373,places,"'Ulakoheo, O'ahu"
1378,places,"Kalia, O'ahu"
1388,places,"Kaihalulu, Maui"
1388,places,"Ka'uiki, Maui"
1395,places,"Hā'upu, Kaua'i"
1395,places,"Kīpu, Kaua'i"
1399,places,"Hanakāpī'ai, Kaua'i"
1403,places,'Alio
1404,places,"Kawa, Hawai'i"
1404,places,"Kōloa, Hawai'i"
1405,places,"'A'alamanu, Hawai'i"
1406,places,"Kalaekimo (Kalaeokimo), Hawai'i"
1408,places,"Kīpu, Kaua'i"
1413,places,"Maunalua, O'ahu"
1414,places,Lahainaluna School
1420,places,"Kalae, Moloka'i"
1423,places,"Honolulu, O'ahu"
1425,places,"Hauola, Maui"
1425,places,"Lāhaina, Maui"
1426,places,O'ahu
1428,places,Lahainaluna School
1432,places,"Kalaoa, Hawai'i"
1433,places,Kalalau
1433,places,"Makana, Kaua'i"
